
======== PARAMS =========
Edge type: Undirected
Solver method: VNS META-HEURISTIC
Time Limit: 120
Seed: 1628420354
Cost: Integer
Verbose: 4
File path: ../data/all/dsj1000.tsp


======== INSTANCE ========
name: dsj1000
n° nodes: 1000
weight type: CEIL_2D

[INFO]  New Best: 24631468.000000
[INFO]  New Best: 23681984.000000
[INFO]  New Best: 23308750.000000
[INFO]  New Best: 23289873.000000
[INFO]  New Best: 23281101.000000
[INFO]  New Best: 23194162.000000
[INFO]  New Best: 23075565.000000
[INFO]  New Best: 22877359.000000
[INFO]  New Best: 22718918.000000
[INFO]  New Best: 22450178.000000
[INFO]  Initial solution: 20222830
[INFO]  Current: 20320426   Incumbent: 20222830
[INFO]  Current: 20676462   Incumbent: 20222830
[INFO]  Current: 20166411   Incumbent: 20166411
[INFO]  Current: 20175507   Incumbent: 20166411
[INFO]  Current: 20809435   Incumbent: 20166411
[INFO]  Current: 20257073   Incumbent: 20166411
[INFO]  Current: 20160963   Incumbent: 20160963
[INFO]  Current: 20144173   Incumbent: 20144173
[INFO]  Current: 20225622   Incumbent: 20144173
[INFO]  Current: 20398119   Incumbent: 20144173
[INFO]  Current: 20389961   Incumbent: 20144173
[INFO]  Current: 20438179   Incumbent: 20144173
[INFO]  Current: 20322292   Incumbent: 20144173
[INFO]  Current: 20321619   Incumbent: 20144173
[INFO]  Current: 20407938   Incumbent: 20144173
[INFO]  Current: 20694356   Incumbent: 20144173
[INFO]  Current: 20112643   Incumbent: 20112643
[INFO]  Current: 20124821   Incumbent: 20112643
[INFO]  Current: 20950957   Incumbent: 20112643
[INFO]  Current: 20365983   Incumbent: 20112643
[INFO]  Current: 20216437   Incumbent: 20112643
[INFO]  Current: 20901981   Incumbent: 20112643
[INFO]  Current: 20140144   Incumbent: 20112643
[INFO]  Current: 20368649   Incumbent: 20112643
[INFO]  Current: 20307573   Incumbent: 20112643
[INFO]  Current: 20180462   Incumbent: 20112643
[INFO]  Current: 20194182   Incumbent: 20112643
[INFO]  Current: 20345077   Incumbent: 20112643
[INFO]  Current: 20219628   Incumbent: 20112643
[INFO]  Current: 20681857   Incumbent: 20112643
[INFO]  Current: 20254003   Incumbent: 20112643
[INFO]  Current: 20304471   Incumbent: 20112643
[INFO]  Current: 20439080   Incumbent: 20112643
[INFO]  Current: 20082209   Incumbent: 20082209
[INFO]  Current: 20601949   Incumbent: 20082209
[INFO]  Current: 20293045   Incumbent: 20082209
[INFO]  Current: 19946555   Incumbent: 19946555
[INFO]  Current: 20612715   Incumbent: 19946555
[INFO]  Current: 20111178   Incumbent: 19946555
[INFO]  Current: 20225847   Incumbent: 19946555
[INFO]  Current: 20256189   Incumbent: 19946555
[INFO]  Current: 20076700   Incumbent: 19946555
[INFO]  Current: 20051051   Incumbent: 19946555
[INFO]  Current: 20219464   Incumbent: 19946555
[INFO]  Current: 20017899   Incumbent: 19946555
[INFO]  Current: 20162699   Incumbent: 19946555
[INFO]  Current: 20122683   Incumbent: 19946555
[INFO]  Current: 20063376   Incumbent: 19946555
[INFO]  Current: 20444667   Incumbent: 19946555
[INFO]  Current: 20342483   Incumbent: 19946555
[INFO]  Current: 20001739   Incumbent: 19946555
[INFO]  Current: 20222222   Incumbent: 19946555
[INFO]  Current: 20268199   Incumbent: 19946555
[INFO]  Current: 20398403   Incumbent: 19946555
[INFO]  Current: 20594714   Incumbent: 19946555
[INFO]  Current: 20076493   Incumbent: 19946555
[INFO]  Current: 20006276   Incumbent: 19946555
[INFO]  Current: 21010560   Incumbent: 19946555
[INFO]  Current: 20194853   Incumbent: 19946555
[INFO]  Current: 20881917   Incumbent: 19946555
[INFO]  Current: 20160265   Incumbent: 19946555
[INFO]  Current: 20163554   Incumbent: 19946555
[INFO]  Current: 20170043   Incumbent: 19946555
[INFO]  Current: 20024353   Incumbent: 19946555
[INFO]  Current: 20139484   Incumbent: 19946555
[INFO]  Current: 20254400   Incumbent: 19946555
[INFO]  Current: 19985715   Incumbent: 19946555
[INFO]  Current: 20045232   Incumbent: 19946555
[INFO]  Current: 20119289   Incumbent: 19946555
[INFO]  Current: 20057019   Incumbent: 19946555
[INFO]  Current: 19977552   Incumbent: 19946555
[INFO]  Current: 20111543   Incumbent: 19946555
